Rk,Player,Tm,SA1819,SA1920,SA2021,SA2122,SA2223,SA2324,Signed Using,Guaranteed,SA1819.log
157,Deandre Ayton\aytonde01,PHO,8165160.00,"$9,562,920 ","$10,018,200 ","$12,632,950 ",,$0 ,1st Round Pick,"$17,728,080 ",15.91538688
156,Shaun Livingston\livinsh01,GSW,8307692.00,"$7,692,308 ",,,,$0 ,Bird Rights,"$10,307,692 ",15.93269239
154,Joe Harris\harrijo01,BRK,8333333.00,"$7,670,000 ",,,,$0 ,Early Bird Rights,"$16,003,333 ",15.93577405
155,C.J. Miles\milescj01,TOR,8333333.00,"$8,730,158 ",,,,$0 ,MLE,"$8,333,333 ",15.93577405
153,Markelle Fultz\fultzma01,PHI,8339880.00,"$9,745,200 ","$12,288,697 ",,,$0 ,1st Round Pick,"$18,085,080 ",15.93655939
152,Cristiano Felicio\feliccr01,CHI,8470980.00,"$8,156,500 ","$7,529,020 ",,,$0 ,Cap space,"$24,156,500 ",15.95215676
151,Jerryd Bayless\bayleje01,MIN,8575916.00,,,,,$0 ,Cap Space,"$8,575,916 ",15.96446837
150,Markieff Morris\morrima02,WAS,8600000.00,,,,,$0 ,Bird Rights,"$8,600,000 ",15.96727276
148,Kyle Anderson\anderky01,MEM,8641000.00,"$9,073,050 ","$9,505,100 ","$9,937,150 ",,$0 ,MLE,"$37,156,300 ",15.97202887
149,Julius Randle\randlju01,NOP,8641000.00,"$9,073,050 ",,,,$0 ,MLE,"$8,641,000 ",15.97202887
146,Jerami Grant\grantje01,OKC,8653847.00,"$9,346,153 ","$9,346,153 ",,,$0 ,,"$18,000,000 ",15.97351452
147,Fred VanVleet\vanvlfr01,TOR,8653847.00,"$9,000,000 ",,,,$0 ,Bird Rights,"$17,653,847 ",15.97351452
145,Kosta Koufos\koufoko01,SAC,8739500.00,,,,,$0 ,Cap Space,"$8,739,500 ",15.98336354
144,E'Twaun Moore\mooreet01,NOP,8808685.00,"$8,664,928 ",,,,$0 ,Cap Space,"$17,473,613 ",15.99124872
142,Bogdan Bogdanovic\bogdabo01,SAC,9000000.00,"$8,529,386 ",,,,$0 ,Cap space,"$17,529,386 ",16.01273514
143,Rajon Rondo\rondora01,LAL,9000000.00,,,,,$0 ,,"$9,000,000 ",16.01273514
140,Norman Powell\powelno01,TOR,9367200.00,"$10,116,576 ","$10,865,952 ","$11,615,328 ",,$0 ,Cap Space,"$30,349,728 ",16.05272478
141,Josh Richardson\richajo01,MIA,9367200.00,"$10,100,000 ","$10,800,000 ","$11,600,000 ",,$0 ,Minimum Salary,"$30,267,200 ",16.05272478
139,Jared Dudley\dudleja01,BRK,9530000.00,,,,,$0 ,Cap Space,"$9,530,000 ",16.06995528
138,Dante Exum\exumda01,UTA,9600000.00,"$9,600,000 ","$9,600,000 ",,,$0 ,Cap Space,"$27,300,000 ",16.07727366
137,Matthew Dellavedova\dellama01,CLE,9607500.00,"$9,607,500 ",,,,$0 ,Cap Space,"$19,215,000 ",16.0780546
136,Dwight Powell\poweldw01,DAL,9631250.00,"$10,259,375 ",,,,$0 ,Cap Space,"$9,631,250 ",16.08052358
133,Andre Roberson\roberan03,OKC,10000000.00,"$10,740,741 ",,,,$0 ,Bird Rights,"$20,740,741 ",16.11809565
134,Danny Green\greenda02,TOR,10000000.00,,,,,$0 ,Bird Rights,"$10,000,000 ",16.11809565
135,Darren Collison\collida01,IND,10000000.00,,,,,$0 ,Cap space,"$10,000,000 ",16.11809565
132,Jon Leuer\leuerjo01,DET,10002681.00,"$9,508,043 ",,,,$0 ,Cap Space,"$19,510,724 ",16.11836372
131,Rudy Gay\gayru01,SAS,10087200.00,,,,,$0 ,Non-Bird Rights,"$10,087,200 ",16.12677785
130,Robert Covington\covinro01,MIN,10464092.00,"$11,301,219 ","$12,138,345 ","$12,975,471 ",,$0 ,Cap Space,"$46,879,127 ",16.16346014
128,Terrence Ross\rosste01,ORL,10500000.00,,,,,$0 ,Rookie scale extension,"$10,500,000 ",16.16688582
129,Bojan Bogdanovic\bogdabo02,IND,10500000.00,,,,,$0 ,Cap space,"$10,500,000 ",16.16688582
127,Meyers Leonard\leoname01,POR,10595506.00,"$11,286,515 ",,,,$0 ,Cap Space,"$21,882,021 ",16.17594051
126,Tony Snell\snellto01,MIL,10607143.00,"$11,392,857 ","$12,178,571 ",,,$0 ,Cap space,"$22,000,000 ",16.1770382
125,Maurice Harkless\harklma01,POR,10837079.00,"$11,511,234 ",,,,$0 ,Cap Space,"$22,348,313 ",16.19848405
124,Iman Shumpert\shumpim01,SAC,11011234.00,,,,,$0 ,Bird Rights,"$11,011,234 ",16.21442658
123,Jusuf Nurkic\nurkiju01,POR,11111111.00,"$12,000,000 ","$12,000,000 ","$12,000,000 ",,$0 ,,"$39,111,111 ",16.22345616
122,Omer Asik\asikom01,CHI,11286516.00,"$3,000,000 ",,,,$0 ,,"$14,286,516 ",16.2391193
121,John Henson\hensojo01,CLE,11327466.00,"$9,732,396 ",,,,$0 ,1st Round Pick,"$21,059,862 ",16.24274095
120,Alec Burks\burksal01,CLE,11536515.00,,,,,$0 ,1st Round Pick,"$11,536,515 ",16.26102778
119,Dion Waiters\waitedi01,MIA,11550000.00,"$12,100,000 ","$12,650,000 ",,,$0 ,Cap space,"$36,300,000 ",16.26219599
118,Patty Mills\millspa02,SAS,11571429.00,"$12,428,571 ","$13,285,714 ",,,$0 ,Bird Rights,"$37,285,714 ",16.2640496
117,Marcus Smart\smartma01,BOS,11660716.00,"$12,553,471 ","$13,446,428 ","$14,339,285 ",,$0 ,,"$51,999,900 ",16.27173614
116,Zach Randolph\randoza01,SAC,11692308.00,,,,,$0 ,Cap space,"$11,692,308 ",16.27444175
115,T.J. Warren\warretj01,PHO,11750000.00,"$10,810,000 ","$11,750,000 ","$12,690,000 ",,$0 ,1st Round Pick,"$47,000,000 ",16.2793638
